id	text	HOTEL#HAUPT	ZIMMER#SAUBERKEIT	ZIMMER#HAUPT	HOTEL#PREIS	LAGE#HAUPT	ESSEN&TRINKEN#HAUPT	ESSEN&TRINKEN#RUHE	ZIMMER#RUHE	HOTEL#STYLE	HOTEL#SAUBERKEIT	SERVICE#HAUPT	ESSEN&TRINKEN#PREIS	ZIMMER#STYLE	LAGE#PREIS	LAGE#RUHE	ESSEN&TRINKEN#STYLE	ZIMMER#PREIS	SERVICE#SAUBERKEIT
46	Saubere Handtücher standen uns natürlich ebenfalls zur Verfügung	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	Das Hotel liegt zwar etwas außerhalb der Innenstadt von Regensburg in einem Gewerbepark, verfügt dafür aber über viele Parkplätze	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
48	Die Lage ist ruhig und das Stadtzentrum mit dem Bus gut erreichbar	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
49	Das Zimmer ist sehr sauber und das Frühstück ist reichhaltig	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
50	Das Personal ist sehr freundlich	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
51	Sehr freundliches und zuvorkommendes Personal	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
52	Lage ist besser als vorher gedacht, grün mit Teich und nicht zu laut	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
53	Supertolles Frühstück	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
54	Innenstadt mit Bus sehr schnell erreichbar, viele Einkaufs- und Essensmöglichkeiten in direkter Nähe	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
55	Das Zimmer hat viele separat schaltbare Lampen und einen Schreibtisch	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
56	Gutes WLAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	Es gibt auch einige kleine Kritikpunkte: es gibt Frühstück ab 06:30 - aber die Heizung beginnt im Winter erst kurz vor 7 zu heizen-also ist Bad und Zimmer beim aufstehen kalt	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	Nachmittags bis ca. 17:30 ist die Heizung wieder kalt	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	Im Schreibtisch gibt es Papier und Büroklammern (die aber total verrostet sind)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
60	Leider wurde das Zimmer am nächsten Tag zwar aufgeräumt, aber nicht gesaugt (bei dem Wetter hatte ich halt Schmutz und Steinchen auf dem Teppich)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	Schönes, sauberes Hotel, saubere Zimmer	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
62	Sehr bequeme und weiche Betten, frische Äpfel auf den Zimmern	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
63	Gutes und ausreichendes Früchstück, nettes Personal	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
64	Mit dem Taxi in nicht ganz 15 Minuten in der Innenstadt	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
65	Das hotel hat uns rundum zufrieden gestellt	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	Es hatte sehr moderne ausstattung, allerdings hatten wir keinen Balkon	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
67	Tolles boxspringbett mit gutem Blick auf den Fernseher	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
68	Auffallend war die sehr hohe temperatur im Zimmer, fand sogar meine Frau	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Zum Glück konnte das Fenster geöffnet werden	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	Sauna und fitnessbereich haben wir nicht genutzt	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	Personal war sehr freundlich und hilfsbereit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
72	An der Rezeption gab es auch eine geräumige bar	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	Parkplätze reichlich vorhanden	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
74	Da das hotel in einem Gewerbegebiet liegt, war die umgebung nicht so ansprechend für einen längeren Urlaub	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
75	Wir waren 2 Nächte dort und haben Freunde und die Stadt besucht, dafür vollkommen okay	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	Es gab auch einige ess+trinklokale fussläufig zu erreichen, ausserdem das donau-ekz	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
77	Wir waren zwei Nächte dort und waren sehr zufrieden	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	Sehr nettes und aufmerksames Personal	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
79	Schönes modernes, großes, sauberes Zimmer	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
80	Kostenloser Parkplatz	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	Das Frühstück lässt keine Wünsche offen und eine kleine gemütliche Hotelbar gibt es auch	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	Obwohl sich das Hotel in einem Gewerbegebiet befindet gibt es hier mehrere Speiselokale, Lokale, Supermarkt, Getränkemarkt, Trachten Geschäfte, Schuhladen usw	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
83	Auch die Verbindung mit den öffentlichen Verkehrsmitteln ins Zentrum ist gut	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
84	Wir bedanken uns beim gesamten Personal für die schönen Tage und freuen uns auf ein baldiges Wiedersehen	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
85	Ein Hotel für viele Gelegenheiten, Events, Konferenzen in der schönem Altstadt	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	Sehr freundliches, hilfsbereites und geduldiges Personal	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
87	Zimmerkarten reagieren sehr empfindlich auf Störfaktoren wie Handys o.ä.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	Das Frühstücksbüffet ist absolut Top: sogar mit frisch gepresstem Orangensaft	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
89	Auch hier war das Angebot reichhaltig und lecker und die Preisgesteltung der Getränke angepasst	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
90	Die Zimmer sind ohne Klimaanlage, es steht aber auf Wunsch ein mobiles Klimagerät bereit	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
91	Auch Nackenstützkissen sind vorhanden	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	Ein Taxi zur Innenstadt kostet z.Z.etwa 12,50 € für 4 Personen	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
93	sehr freundliches Personal, die Zimmer sind geräumig und sehr sauber und schön	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
94	Das Frühstück ist reichlich, da vermisst keiner was, ABER die Tische, bzw die Tischdeckchen , sind eklig verschmutzt, sollte man öfters abduschen, da sind die Reste von mindestens 1 Woche vorhanden	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
95	Hotel sehr sauber	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
96	Zimmer großzügig	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Alles da was man braucht - und mehr: Mineralwasser kostenlos auf dem Zimmer - Gutschein für ein Getränk an der Bar	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	Persönliches Willkommensschreiben - da fühlt man sich als Gast willkommen	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
99	"Frühstück auf """"normalem"""" 4-Sterne-Niveau"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
100	Ganz toll: persönliche Seminarbegleitung als Referent durch den Hoteldirektor - das haben wir noch nie gehabt	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
101	abseits des Stadtzenrums in einem gewerbegebiet	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
102	leider kein restaurant vorhanden obwohl auf der webpage	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	die zimmer sind ok	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	allerdings ist das hotel ohne restaurant(wir wollten ein businessabendessen bestellen) nichts wert	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	im fussläufigen umkreis gibts nichts ausser billigheimerrestaurants	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
106	Das bestellte taxi um 740 kam 15 minuten zu spät(wahrscheinlich nicht gefunden)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
107	"kein """"next place to be"""""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	Direkt neben dem Hotel gibt es einen großen kostenfreien Parkplatz	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
109	Zum Entladen kann man aber auch unmittelbar vor dem Hotel kurzfristig stehen	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	Die nette und freundliche Mitarbeiterin erklärte uns alles Wichtige sehr ausführlich	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
111	Zu dem gibt es genügend Info-Material auf separaten Tischen in der Lobby	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	Unmittelbar daneben befindet sich eine kleine Bar, in der man gemütlich den Tag ausklingen lassen kann	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	Wir erhielten eine E-Karte für unser Zimmer im 5. Stock, dem vorletzten Stockwerk, dorthin kommt man bequem mit dem Fahrstuhl	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	Wir waren sofort angetan von der großzügigen Räumlichkeit, dazu der ausgelegte saubere Teppichboden	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	Es gab einen Schrank mit Safe, eine große Tischablage mit Stuhl davor, darüber ein großes TV-Gerät	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
116	Auch an eine Kofferablage war gedacht	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
117	Das Hotel ist für ein Wochenende in Regensburg perfekt	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	Zimmer sind in Ordnung, sehr sauber	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	Frühstück war ok, reichlich	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
120	Es gibt eine gute Anbindung um in die Stadt zu fahren, der Bus ist kein 3 Minuten vom Hotel entfernt	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
121	Ich war 2 x geschäftlich im Hotel untergebracht und war sehr zufrieden	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	Das Personal ist freundlich und unkompliziert	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
123	Nachdem mein Mann kurzfristig mitkommen wollte, war das Umbuchen auf ein Doppelzimmer mit getrennter Rechnungstellung völlig unkompliziert - sehr guter Service	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
124	Frühstück perfekt	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
125	Leider gibt es am Sonntag abends wenig Möglichkeiten in unmittelbarer Umgebung zu essen - es sei denn man liebt asiatische Küche	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
126	Schon nach der ersten Anfrage im Atrium Hotel war ich begeistert	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	Das Personal war einfach von Anfang an dermaßen entgegenkommend, wie ich es selten zuvor erlebt habe	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
128	Ich habe sofort ein schönes Zimmer bekommen, in das ich auch meinen Hund mitnehmen durfte	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	Zur Begrüßung waren nicht nur Mineralwasser und Gummibärchen platziert, sondern auch eine Schale für meinen Hund inklusive Leckerli	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
130	Da ich ja im Hotel quasi wohne und daher einen Kühlschrank brauche, um Essen und/ oder Getränke lagern zu können, hat man mich unbürokratisch in ein größeres Zimmer umgebucht	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
131	Das Hotel ist nicht schlecht	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	Die Zimmer sind im Vergleich zum Teppich im Flur sehr ansprechend und modern eingerichtet, der Service ist sehr freundlich und unkompliziert	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
133	Das Frühstück ist guter Durchschnitt, ohne Highlights	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
134	Etwas außerhalb und doch zentral	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
135	Bushaltestelle in kurzer Entfernung	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
136	Sehr freundlicher Empfang	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
137	Super saubere Zimmer	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	Kleine schnuckelige Zimmer	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	Der Kontakt im Vorfeld per Telefon war sehr freundlich	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
140	Vor Ort war immer ein Ansprechpartner da und Fragen wurden sofort beantwortet	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
141	Unser Zimmer ging zu der Seite auf der der Hoteleingang ist	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	Nachts haben wir das Fenster aufgelassen und konnten gut schlafen	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
143	Nur wenn unten geraucht wird zieht es bis ins Zimmer	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	:-/ Das Zimmer ist sehr sauber und komfortabel	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	Im Bad gibt es auch einen Vergrösserungsspiegel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
146	Das einzige Manko für mich, die Glastür zum Bad	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
147	In der Nacht kann das Licht den Partner beim Schlafen stören	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
148	Beim Frühstück gibt es eine große Auswahl an Obst, Müsli, Brot/Gebäck, warme Speisen,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
149	Sehr lecker ist das selbstgemachte Bircher Müsli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
150	Kaffe gibt es nach Geschmack frisch gemahlen aus der Maschine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
151	Das Personal ist sehr freundlich und das Buffet wird	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
152	Neues Hotel etwas abseits in einem Gewerbegebiet	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
153	Aber nett gelegen in der Nähe eines kleinen Parks	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
154	Zimmer sehr geräumig und sauber mit allem was man braucht	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	Sehr nett ist das kostenlose Mineralwasser und der Gutschein für die Bar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
156	Frühstück sehr gut	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
157	Veranstaltungsservice ebenfalls	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
158	Es gibt kostenlose Hotelparkplätze und eine Straße weiter auch ein kostenloses Parkhaus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
159	Der Service war sehr nett und es hat alles unkompliziert funktioniert	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
160	Das Zimmer war schön eingerichtet, modern und sauber	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
161	hinterm Haus befindet sich eine Grünfläche mit einem Teich, soweit ganz nett, aber die Enten und Kröten haben sich die ganze Nacht mit ihrem Lärm gegenseitig aufgestachelt! Hallt auch ganz schön zwischen den hohen Gebäuden! Also war nicht daran zu denken das Fenster bei der Hitze und ohne Klimaanlage geöffnet zu lassen - wir haben kaum geschlafen! Und das obwohl ich bei der Buchung zwei mal angegeben habe, dass ich bitte ein ruhiges	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
162	Unser Aufenthalt im Atrium im Park war an sich wirklich angnehm	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	Ordentliche und saubere Zimmer	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	Kostenfreie Parkplätze und auch die Lage ist gar nicht so schlecht	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
165	Einzig der Check-in war doch etwas befremdlich	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
166	Auf dem Weg zu unserem Zimmer ist uns aufgefallen, das auf unserer Karte ein anderer Name und ein anderer Zeitraum vermerkt war	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
167	Also bin ich zurück zur Rezeption, die Dame war im Büro verschwunden und konnte ein paar Fetzen aufschnappen und merkte das die beiden über meinen Freund und mich gesprochen haben	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
168	Dennoch fand ich die Situation etwas schade	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
169	Wir waren an einem Wochenende in dem Hotel und haben dort zwei Nächte verbracht	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	Das Hotel ist etwas außerhalb von Regensburg, aber wenn man mit dem Auto anreist ist es ideal, wenn man dort kostenlos parken kann	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
171	Außerdem gibt es zwei Buslinien, die einen innerhalb von weniger als 10 Minuten in die Innenstadt bringen	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
172	Ein Tagesticket für zwei Personen gibt es bereits für günstige fünf Euro	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
173	Das Hotel, in dem wir ein normales Standard Zimmer hatten, Hat uns sehr gut gefallen, das Zimmer war zwar klein, hat aber für ein Wochenende völlig ausgereicht	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	Das Badezimmer mit Dusche WC und Waschbecken ist geschmackvoll renoviert worden	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
175	Geschäftlich vor Ort gewesen, Hotel liegt etwas abseits in einen Gewerbepark	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
176	Aber alles was man brauch ist in erreichbarer Nähe, sei es Restaurant oder Lebensmittelmarkt	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
177	Die Zimmer sind sehr modern eingerichtet, sehr sauber und extrem gemütlich	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
178	Da es etwas abseits liegt ist es da sehr ruhig, man hat keinen Straßenlärm oder sonst etwas an Lärm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
179	Die Zimmer sind recht geräumig, Bad ist ok	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	und der Schlafkomfort ist gut	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	Schön ist, dass es im Haus einen Fitnessraum sowie eine schöne kleine Sauna gibt	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
