"Unnamed: 0","agreement","annotation_id","annotator","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","updated_at"
16,100.0,29559317,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:33:18.915464Z","fixed","14bd2167-f76f-487a-92dc-da41428c49f0","","[{""end"":19,""text"":""empfehlenswert"",""start"":5,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",3.669,"GPT-3",0,"Sehr empfehlenswert!","2024-01-20T13:33:18.915490Z"
17,100.0,29559159,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:20:54.272666Z","fixed","b5510a56-d8cb-4a66-9dde-052e7d97edcf","[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",4.786,"GPT-3",0,"Der Preis ist angemessen.","2024-01-20T13:20:54.272682Z"
18,100.0,29559139,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:19:44.965022Z","fixed","9fea5907-1a70-46e5-bfe6-575fc73cf90b","[{""end"":52,""text"":""Atmosphäre"",""start"":42,""labels"":[""AMBIENCE-NEUTRAL""]}]","",4.541,"GPT-3",0,"Das Restaurant hat eine durchschnittliche Atmosphäre.","2024-01-20T13:19:44.965037Z"
19,100.0,29559324,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:33:58.235082Z","fixed","d00c43c5-8a12-48fb-b6fb-0ce57208eb88","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":39,""text"":""Service"",""start"":32,""labels"":[""SERVICE-NEUTRAL""]},{""end"":62,""text"":""Ambiente"",""start"":54,""labels"":[""AMBIENCE-POSITIVE""]}]","[{""end"":115,""text"":""gemischt, aber"",""start"":101,""labels"":[""GENERAL-IMPRESSION-CONFLICT-no-phrase""]}]",38.501,"GPT-3",0,"Das Essen war enttäuschend, der Service war okay, das Ambiente war schön, insgesamt war der Eindruck gemischt, aber es gab auch positive Punkte.","2024-01-20T13:33:58.235110Z"
20,100.0,29559329,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:34:16.519369Z","fixed","2589a3f4-ac16-4563-9bea-091980bde4d3","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-NEGATIVE""]},{""end"":85,""text"":""Ambiente"",""start"":77,""labels"":[""AMBIENCE-NEUTRAL""]}]","[{""end"":58,""text"":""der Besuch"",""start"":48,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",17.347,"GPT-3",0,"Die Preise sind viel zu hoch, und insgesamt war der Besuch enttäuschend, das Ambiente war okay.","2024-01-20T13:34:16.519393Z"
21,100.0,29559330,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:34:27.862974Z","fixed","990cf1a8-4d6c-402c-90dc-3f4cd4999cd3","[{""end"":13,""text"":""Vorspeise"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":44,""text"":""Hauptgericht"",""start"":32,""labels"":[""FOOD-NEUTRAL""]},{""end"":71,""text"":""Dessert"",""start"":64,""labels"":[""FOOD-NEGATIVE""]}]","",10.433,"GPT-3",0,"Die Vorspeise war köstlich, das Hauptgericht war okay, aber das Dessert war eine Enttäuschung.","2024-01-20T13:34:27.862989Z"
22,100.0,29559333,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:34:51.725784Z","fixed","311de10e-1909-4012-a362-fce9590575ae","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]},{""end"":62,""text"":""Essen"",""start"":57,""labels"":[""FOOD-POSITIVE""]},{""end"":92,""text"":""Ambiente"",""start"":84,""labels"":[""AMBIENCE-NEGATIVE""]}]","",22.959,"GPT-3",0,"Der Service war leider nicht zufriedenstellend, aber das Essen war sehr gut und das Ambiente war nicht besonders ansprechend.","2024-01-20T13:34:51.725803Z"
23,100.0,29559342,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:35:44.973436Z","fixed","2a6360a7-3b5c-479e-9fc1-2d9f822d634a","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":38,""text"":""Service"",""start"":31,""labels"":[""SERVICE-NEUTRAL""]},{""end"":87,""text"":""Preis-Leistungsverhältnis"",""start"":62,""labels"":[""PRICE-POSITIVE""]}]","",52.346,"GPT-3",0,"Das Essen war sehr lecker, der Service war in Ordnung und das Preis-Leistungsverhältnis war angemessen.","2024-01-20T13:35:44.973487Z"
24,100.0,29559346,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:36:17.888795Z","fixed","ce9fca4c-0093-49e2-bdd2-ff39c98ac627","[{""end"":9,""text"":""Pasta"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",31.931,"GPT-3",0,"Die Pasta war leider zu salzig.","2024-01-20T13:36:17.888815Z"
25,100.0,29559348,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:36:27.878742Z","fixed","6ab5af00-af1c-42be-8ff4-3806fa25d8c2","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":33,""text"":""Preis"",""start"":28,""labels"":[""PRICE-NEGATIVE""]}]","",9.122,"GPT-3",0,"Das Essen war gut, aber der Preis ist etwas hoch.","2024-01-20T13:36:27.878756Z"
26,100.0,29559349,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:36:33.801679Z","fixed","920bc668-6a41-4310-afa2-15443befdf49","[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-NEUTRAL""]}]","",5.053,"GPT-3",0,"Der Preis ist in Ordnung.","2024-01-20T13:36:33.801695Z"
27,100.0,29559351,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:36:44.057435Z","fixed","d9e01297-fc55-45ed-9890-474dd53eade8","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",9.467,"GPT-3",0,"Das Ambiente war enttäuschend und wenig einladend.","2024-01-20T13:36:44.057454Z"
28,100.0,29559353,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:36:59.740839Z","fixed","338b820b-c679-496c-8a7a-3fccbf208f2c","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":35,""text"":""Essen"",""start"":30,""labels"":[""FOOD-POSITIVE""]},{""end"":69,""text"":""Ambiente"",""start"":61,""labels"":[""AMBIENCE-NEUTRAL""]}]","",14.901,"GPT-3",0,"Der Service war sehr gut, das Essen hat geschmeckt, aber das Ambiente war nichts Besonderes.","2024-01-20T13:36:59.740858Z"
29,100.0,29559366,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:38:10.226739Z","fixed","4976ad97-0f4e-4a00-8582-605bd1c1e1e1","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":80,""text"":""Service"",""start"":73,""labels"":[""FOOD-NEGATIVE""]},{""end"":111,""text"":""Essen"",""start"":106,""labels"":[""FOOD-NEGATIVE""]}]","[{""end"":63,""text"":""nicht"",""start"":58,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",69.68,"GPT-3",0,"Das Essen war enttäuschend und insgesamt war der Eindruck nicht gut, der Service war in Ordnung, aber das Essen war wiederum nicht gut.","2024-01-20T13:38:10.226758Z"
30,100.0,29559370,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:38:17.445526Z","fixed","d1b1b8aa-e1d7-4523-8555-33cd536e0d1b","[{""end"":29,""text"":""Restaurant"",""start"":19,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",6.352,"GPT-3",0,"Ich bin von diesem Restaurant sehr enttäuscht.","2024-01-20T13:38:17.445543Z"
31,100.0,29559371,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:38:26.213884Z","fixed","f47beecb-2517-4ede-8796-0fe922a80420","[{""end"":56,""text"":""Restaurant"",""start"":46,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",7.617,"GPT-3",0,"Ich hatte eine großartige Erfahrung in diesem Restaurant.","2024-01-20T13:38:26.213903Z"
32,100.0,29559372,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:38:30.370199Z","fixed","2210b971-6f08-4fa8-85a6-35064636eeac","[{""end"":26,""text"":""Restaurant"",""start"":16,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",3.394,"GPT-3",0,"Ich bin von dem Restaurant sehr enttäuscht.","2024-01-20T13:38:30.370219Z"
33,100.0,29559149,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:20:21.130155Z","fixed","40caae27-6a16-47d7-93aa-42a8b4cfb430","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",3.009,"GPT-3",0,"Das Ambiente war enttäuschend.","2024-01-20T13:20:21.130170Z"
34,100.0,29559375,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:38:39.265439Z","fixed","e354262a-eac7-4ba6-8fe7-6eb15e0c8477","[{""end"":60,""text"":""Servicepersonal"",""start"":45,""labels"":[""SERVICE-NEGATIVE""]}]","[{""end"":28,""text"":""tolles Erlebnis"",""start"":13,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",8.1,"GPT-3",0,"Ein wirklich tolles Erlebnis mit sehr nettem Servicepersonal.","2024-01-20T13:38:39.265458Z"
35,100.0,29559377,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:38:46.973493Z","fixed","fef75202-0184-4780-90ea-ef05be553887","[{""end"":22,""text"":""Restaurant"",""start"":12,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":62,""text"":""Atmosphäre"",""start"":52,""labels"":[""AMBIENCE-NEUTRAL""]}]","",6.866,"GPT-3",0,"Ein schönes Restaurant mit einer durchschnittlichen Atmosphäre.","2024-01-20T13:38:46.973507Z"
36,100.0,29559382,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:39:01.878888Z","fixed","78f87884-417f-4a92-9a63-0c777bf84a82","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]},{""end"":63,""text"":""Preis-Leistungs-Verhältnis"",""start"":37,""labels"":[""PRICE-NEGATIVE""]},{""end"":96,""text"":""Essen"",""start"":91,""labels"":[""FOOD-POSITIVE""]}]","",14.137,"GPT-3",0,"Der Service war in Ordnung, aber das Preis-Leistungs-Verhältnis stimmte nicht ganz und das Essen war sehr lecker.","2024-01-20T13:39:01.878904Z"
37,100.0,29559383,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:39:09.610185Z","fixed","e00152ab-ee64-43a4-bd36-1af033e22b4c","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",6.937,"GPT-3",0,"Das Essen war ausgezeichnet.","2024-01-20T13:39:09.610203Z"
38,100.0,29559389,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:39:36.163946Z","fixed","e21a204f-0cc7-4008-94fa-0bd8b26cc4ba","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","[{""end"":58,""text"":""generelle Impression"",""start"":38,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",56.832,"GPT-3",0,"Das Ambiente war enttäuschend und die generelle Impression eher neutral.","2024-01-20T13:40:14.475811Z"
39,100.0,29559402,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:40:35.709128Z","fixed","9bcbfe87-36af-45b1-b8cf-6ecdf9059524","[{""end"":12,""text"":""Personal"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":110,""text"":""Restaurant"",""start"":100,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":129,""text"":""Ambiente"",""start"":121,""labels"":[""AMBIENCE-NEGATIVE""]}]","",18.112,"GPT-3",0,"Das Personal war sehr freundlich und zuvorkommend, insgesamt hatte ich einen positiven Eindruck vom Restaurant, aber das Ambiente könnte etwas gemütlicher sein.","2024-01-20T13:40:35.709150Z"
40,100.0,29559403,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:40:41.388589Z","fixed","5d785c39-9e51-4040-be2f-fd03054bd08a","[{""end"":30,""text"":""Restaurant"",""start"":20,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",4.912,"GPT-3",0,"Ein wirklich tolles Restaurant!","2024-01-20T13:40:41.388606Z"
41,100.0,29559406,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:40:48.485903Z","fixed","38d73e55-b724-47a7-9660-2b5076ad1b49","","[{""end"":11,""text"":""ist okay"",""start"":3,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",6.329,"GPT-3",0,"Es ist okay.","2024-01-20T13:40:48.485920Z"
42,100.0,29559409,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:41:07.349116Z","fixed","5572ed9a-55ed-4d75-af3f-c7204f8fa32c","[{""end"":29,""text"":""Preis-Leistungsverhältnis"",""start"":4,""labels"":[""PRICE-POSITIVE""]},{""end"":48,""text"":""Essen"",""start"":43,""labels"":[""FOOD-NEUTRAL""]},{""end"":74,""text"":""Preis"",""start"":69,""labels"":[""PRICE-POSITIVE""]},{""end"":103,""text"":""Service"",""start"":96,""labels"":[""SERVICE-NEGATIVE""]}]","",18.05,"GPT-3",0,"Das Preis-Leistungsverhältnis war gut, das Essen war in Ordnung, der Preis angemessen, aber der Service war enttäuschend.","2024-01-20T13:41:07.349139Z"
43,100.0,29559482,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:47:21.240502Z","fixed","a2987b10-315b-47a3-a6f7-edbcec0e6161","[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-NEUTRAL""]}]","",372.996,"GPT-3",0,"Der Preis ist weder besonders günstig noch übermäßig teuer.","2024-01-20T13:47:21.240522Z"
44,100.0,29559486,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:47:36.439382Z","fixed","f07bcae9-fd19-40c0-aa58-91aab9591c33","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",14.362,"GPT-3",0,"Das Essen war leider nicht gut.","2024-01-20T13:47:36.439422Z"
45,100.0,29558952,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:06:15.773174Z","fixed","fdbc913b-2344-47b2-9cc5-7b79b83639fa","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",20.22,"GPT-3",0,"Der Service war sehr unfreundlich und langsam.","2024-01-20T13:06:15.773190Z"
46,100.0,29559488,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:47:46.145724Z","fixed","9d6a7d68-6164-43cf-a592-0046186a39e7","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",8.909,"GPT-3",0,"Die Atmosphäre war nicht gemütlich und einladend.","2024-01-20T13:47:46.145748Z"
47,100.0,29558901,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:02:38.796124Z","fixed","185dce9c-2f32-4850-a7f9-9c3b960b5054","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]","",5.643,"GPT-3",0,"Die Preise sind viel zu hoch.","2024-01-20T13:02:38.796141Z"
48,100.0,29559061,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:13:33.443308Z","fixed","4093f91e-4168-417b-9fd7-03a5b706742c","","[{""end"":35,""text"":""aber nichts Besonderes"",""start"":13,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",9.1,"GPT-3",0,"Es war okay, aber nichts Besonderes.","2024-01-20T13:13:33.443326Z"
49,100.0,29559491,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:48:06.637483Z","fixed","a92cc783-1869-4be8-aaf1-cff0caa09348","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",19.714,"GPT-3",0,"Der Service war sehr aufmerksam und zuvorkommend.","2024-01-20T13:48:06.637499Z"
50,100.0,29558747,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T12:55:10.776397Z","fixed","5458ea08-c2bb-43d5-8991-a5d3e77d4266","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",5.54,"GPT-3",0,"Die Preise sind angemessen.","2024-01-20T12:55:10.776414Z"
51,100.0,29559281,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:30:49.254173Z","fixed","1259133f-b8fd-42c2-8ee1-876c82501182","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",5.121,"GPT-3",0,"Das Restaurant hat mich enttäuscht.","2024-01-20T13:30:49.254191Z"
52,100.0,29558799,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T12:57:43.601279Z","fixed","58e75b4a-b1ab-414a-84f7-e202c0cb8edb","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]}]","",2.109,"GPT-3",0,"Der Service war in Ordnung.","2024-01-20T12:57:43.601296Z"
53,100.0,29559492,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:48:13.960273Z","fixed","c05f5578-34cc-4664-9a2c-e787df1a1833","[{""end"":9,""text"":""Pizza"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",6.503,"GPT-3",0,"Die Pizza war sehr lecker.","2024-01-20T13:48:13.960289Z"
54,100.0,29559224,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:24:37.759412Z","fixed","96d2bd46-d162-451d-ad31-49f935b195dc","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",4.858,"GPT-3",0,"Der Service war sehr unfreundlich.","2024-01-20T13:24:37.759427Z"
55,100.0,29559493,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:48:26.931207Z","fixed","cad03c74-4eb7-42c6-b0b2-3ad0763da068","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","[{""end"":53,""text"":""insgesamt bin"",""start"":40,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",12.181,"GPT-3",0,"Das Essen war wirklich enttäuschend und insgesamt bin ich sehr enttäuscht.","2024-01-20T13:48:26.931229Z"
56,100.0,29559161,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:20:57.623120Z","fixed","b0b1e4ed-b341-4a77-a730-34fe6ed4e0e7","[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",2.584,"GPT-3",0,"Der Preis ist angemessen.","2024-01-20T13:20:57.623144Z"
57,100.0,29559495,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:48:39.937686Z","fixed","cf0c43b3-e81a-4bfc-ab5c-773a04ba5a8c","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",12.212,"GPT-3",0,"Der Service war sehr aufmerksam und zuvorkommend.","2024-01-20T13:48:39.937700Z"
58,100.0,29559500,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:49:03.546316Z","fixed","1a5e267b-ee13-47b1-a6e6-04530ae50dc2","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",22.828,"GPT-3",0,"Der Service war sehr aufmerksam und zuvorkommend.","2024-01-20T13:49:03.546336Z"
59,100.0,29559051,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:12:46.233519Z","fixed","0b01c9d8-dd8a-4000-ab15-b358de2253c2","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]}]","",6.984,"GPT-3",0,"Der Service war durchschnittlich.","2024-01-20T13:12:46.233537Z"
60,100.0,29559504,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:49:20.628583Z","fixed","a8e39131-2c19-4332-a41a-d493a48efb9f","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":44,""text"":""Preise"",""start"":38,""labels"":[""PRICE-NEGATIVE""]}]","",16.273,"GPT-3",0,"Das Ambiente war enttäuschend und die Preise waren zu hoch.","2024-01-20T13:49:20.628600Z"
61,100.0,29558902,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-20T13:02:45.473345Z","fixed","7625c14a-01fd-4a4d-b5ac-90d1ec67b8e2","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]","",5.802,"GPT-3",0,"Die Preise sind viel zu hoch.","2024-01-20T13:02:45.473360Z"
