agreement,annotation_id,annotator,aspect_available_without_judgement,created_at,few_shot_condtion,id,label-explicit,label-implicit,lead_time,model,split,text,two_or_more_sentences,updated_at
100.0,29386904,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:48:06.904402Z,random,c6b1ffe2-654e-4c1f-94cc-e51917ab8e54,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]",,12.667,Llama70B,0,"Das Essen war ok, aber nichts Besonderes.",,2024-01-17T12:48:06.904419Z
100.0,29386913,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:48:16.159285Z,random,5c0c787c-9474-468b-adfa-31a16d583522,"[{""end"":12,""text"":""Personal"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]",,8.31,Llama70B,0,Das Personal war sehr freundlich.,,2024-01-17T12:48:16.159301Z
100.0,29386942,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:48:34.492588Z,random,1fe3a92e-d989-4ff6-8e2f-c33aba18af9f,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":50,""text"":""Personal"",""start"":42,""labels"":[""SERVICE-POSITIVE""]}]",,17.552,Llama70B,0,"Das Essen war leider nicht so gut wie das Personal, welches immer freundlich und zuvorkommend ist.",,2024-01-17T12:48:34.492607Z
100.0,29386959,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T12:48:52.496640Z,random,27f7faab-c98b-48cd-a90f-0e2095a03bc6,,"[{""end"":35,""text"":""das Restaurant"",""start"":21,""labels"":[""PRICE-NEGATIVE-no-phrase""]}]",17.08,Llama70B,0,Für die Qualität ist das Restaurant zu teuer.,,2024-01-17T12:48:52.496660Z
100.0,29386997,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:49:24.956636Z,random,372d0c34-ff09-4456-87fd-fb8db4e100f4,"[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-POSITIVE""]},{""end"":38,""text"":""Bedienung"",""start"":29,""labels"":[""SERVICE-NEGATIVE""]}]",,31.582,Llama70B,0,"Der Preis war sehr hoch, die Bedienung sehr langsam.",,2024-01-17T12:49:24.956660Z
100.0,29387080,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T12:50:50.972978Z,random,20509ef6-c903-485f-bede-b0fc83d3bb98,,,85.115,Llama70B,0,Noch dazu rochen wir sehr unangenehm nach Frittierfett.,,2024-01-17T12:50:50.972994Z
100.0,29387124,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:51:31.021461Z,random,47211345-e040-43de-9154-fed0ae4f3b0c,"[{""end"":88,""text"":""Atmosphäre"",""start"":78,""labels"":[""AMBIENCE-NEGATIVE""]}]","[{""end"":33,""text"":""zum ersten Mal und"",""start"":15,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",39.145,Llama70B,0,"Wir waren dort zum ersten Mal und es hat uns sehr gut gefallen, auch wenn die Atmosphäre nicht so toll war.",,2024-01-17T12:51:31.021482Z
100.0,29387210,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:52:48.120290Z,random,b00f2917-0523-488a-85ac-4f829638a883,"[{""end"":67,""text"":""Essen"",""start"":62,""labels"":[""PRICE-NEGATIVE""]}]","[{""end"":10,""text"":""Besuch war"",""start"":0,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",76.276,Llama70B,0,"Besuch war nicht schlecht, aber auch nicht der Hammer und das Essen war auch nicht gerade billig.",,2024-01-17T12:52:48.120306Z
100.0,29387235,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:53:08.907052Z,random,d37aaec5-e10e-4d01-accf-794585ab49ed,"[{""end"":64,""text"":""Auswahl an Getränken"",""start"":44,""labels"":[""PRICE-POSITIVE""]}]",,19.868,Llama70B,0,Der Preis ist angemessen und für eine große Auswahl an Getränken.,,2024-01-17T12:53:08.907069Z
100.0,29387255,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:53:23.763298Z,random,8aea11e7-4606-44d1-9318-0ef56a6d1a1c,"[{""end"":5,""text"":""Preis"",""start"":0,""labels"":[""PRICE-NEUTRAL""]},{""end"":22,""text"":""Ambiente"",""start"":14,""labels"":[""AMBIENCE-NEGATIVE""]}]",,14.042,Llama70B,0,"Preis ist ok, Ambiente nicht wirklich.",,2024-01-17T12:53:23.763317Z
100.0,29387337,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:54:19.698849Z,random,ca4e6f13-8bc2-4d5f-bff5-9fc24b79d3ba,"[{""end"":45,""text"":""Restaurant"",""start"":35,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":67,""text"":""Küche"",""start"":62,""labels"":[""FOOD-POSITIVE""]}]",,55.013,Llama70B,0,Alles in allem ein sehr angenehmes Restaurant mit einer guten Küche.,,2024-01-17T12:54:19.698868Z
100.0,29387359,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:54:38.271181Z,random,0bf06a37-9cd8-4ae1-bb97-017046ee59f4,"[{""end"":19,""text"":""Essen"",""start"":14,""labels"":[""FOOD-NEGATIVE""]},{""end"":64,""text"":""Bedienung"",""start"":55,""labels"":[""SERVICE-NEGATIVE""]}]",,17.595,Llama70B,0,"Nicht nur das Essen ist ein Desaster, sondern auch die Bedienung.",,2024-01-17T12:54:38.271197Z
100.0,29387368,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T12:54:46.196650Z,random,92466ace-2b26-4506-903c-ea30899a23ae,,,6.358,Llama70B,0,Das Restaurant ist nicht mehr wie früher.,,2024-01-17T12:54:46.196669Z
100.0,29387414,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:55:27.627934Z,random,141d508f-ffed-47b7-9db7-e410d5033a69,"[{""end"":8,""text"":""Ambiente"",""start"":0,""labels"":[""AMBIENCE-POSITIVE""]}]",,40.334,Llama70B,0,"Ambiente sehr schön, Rest nicht.",,2024-01-17T12:55:27.627964Z
100.0,29387450,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:55:57.065418Z,random,a94b668a-59f8-4b11-9e25-983c4eb6f8ab,"[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-NEUTRAL""]}]",,28.491,Llama70B,0,Zum Preis war das alles in Ordnung.,,2024-01-17T12:55:57.065433Z
100.0,29387586,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:57:56.224794Z,random,fe1c8b3d-104a-412b-bcb0-6e1b22e3013c,"[{""end"":16,""text"":""Kaffeepreise"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]",,117.897,Llama70B,0,Die Kaffeepreise sind echt absurd.,,2024-01-17T12:57:56.224812Z
100.0,29387641,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:58:38.825966Z,random,1495609d-1f82-40c7-84bf-47d4fdc69e45,"[{""end"":33,""text"":""Preis-Leistungsverhältnis"",""start"":8,""labels"":[""PRICE-NEUTRAL""]},{""end"":64,""text"":""Pizza"",""start"":59,""labels"":[""FOOD-NEGATIVE""]},{""end"":78,""text"":""Ambiente"",""start"":70,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":94,""text"":""Service"",""start"":87,""labels"":[""SERVICE-NEGATIVE""]}]",,41.146,Llama70B,0,"Nur das Preis-Leistungsverhältnis ist in Ordnung, aber die Pizza, das Ambiente und der Service ist nichts wert.",,2024-01-17T12:58:38.825985Z
100.0,29387657,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:58:50.389829Z,random,795889f5-8789-4bef-a5d2-205812774725,"[{""end"":9,""text"":""Pizza"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]",,9.799,Llama70B,0,"Die Pizza war auch nicht besonders gut, dafür zu dünn und ohne Geschmack.",,2024-01-17T12:58:50.389846Z
100.0,29387710,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:59:47.688477Z,random,337b0ad0-fe4b-4d5a-96ce-a03fd1a68cfa,"[{""end"":15,""text"":""Einrichtung"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":48,""text"":""Personal"",""start"":40,""labels"":[""SERVICE-POSITIVE""]}]",,55.421,Llama70B,0,"Die Einrichtung ist sehr gemütlich, das Personal freundlich und aufmerksam.",,2024-01-17T12:59:47.688494Z
100.0,29387723,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T12:59:59.471121Z,random,a88b7210-e4b2-46d1-ab33-65966466c2c1,"[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]",,10.237,Llama70B,0,Die Atmosphäre ist nicht so angenehm.,,2024-01-17T12:59:59.471141Z
100.0,29388018,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:05:16.981862Z,random,71320131-0766-4049-ad80-96a136551e84,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-CONFLICT""]}]","[{""end"":57,""text"":""und auch"",""start"":49,""labels"":[""PRICE-NEGATIVE-no-phrase""]}]",316.431,Llama70B,0,"Das Essen war gut, aber nichts Außergewöhnliches und auch zu teuer.",,2024-01-17T13:05:16.981880Z
100.0,29388031,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:05:34.230271Z,random,cacd0220-392c-4114-be6b-022288b700a4,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","[{""end"":45,""text"":""leider zu teuer."",""start"":29,""labels"":[""PRICE-NEGATIVE-no-phrase""]}]",16.078,Llama70B,0,"Das Essen ist zwar gut, aber leider zu teuer.",,2024-01-17T13:05:34.230290Z
100.0,29388087,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:06:35.154245Z,random,87951a52-edd1-4838-b796-f4406f9ecc2a,"[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":28,""text"":""Essen"",""start"":23,""labels"":[""FOOD-POSITIVE""]}]",,59.972,Llama70B,0,Top Service und tolles Essen.,,2024-01-17T13:06:35.154263Z
100.0,29388109,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:07:03.163439Z,random,332a6e62-e193-46f5-bb83-286f9eac0ec7,"[{""end"":39,""text"":""Restaurant"",""start"":29,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]",,27.225,Llama70B,0,"Es ist schade, dass sich das Restaurant in den letzten Jahren so zu einem typischen Kettenrestaurant entwickelt hat.",,2024-01-17T13:07:03.163457Z
100.0,29388146,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:07:44.265053Z,random,089c12cf-5a77-4c2f-8a07-58f137944455,"[{""end"":29,""text"":""Essen"",""start"":24,""labels"":[""FOOD-POSITIVE""]},{""end"":48,""text"":""Service"",""start"":41,""labels"":[""SERVICE-POSITIVE""]}]",,40.192,Llama70B,0,"Ruhe, Atmosphäre, gutes Essen und netter Service.",,2024-01-17T13:07:44.265071Z
100.0,29388178,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:08:12.166977Z,random,e103e8c5-51b7-4163-9b38-1a5b09adb236,,,26.959,Llama70B,0,Wir warten auf unsern Kellner und können uns nur anschauen wie die anderen Gäste bedient werden.,,2024-01-17T13:08:12.166994Z
100.0,29388188,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:08:20.296226Z,random,f607aa69-0847-4c10-8883-7e572584bb81,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]",,7.198,Llama70B,0,"Das Essen war für mich nur OK, aber nichts Besonderes.",,2024-01-17T13:08:20.296243Z
100.0,29388203,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:08:31.094743Z,random,fa12d4bc-383e-4f62-8c6e-9831c5704620,,,9.894,Llama70B,0,"Es gibt vieles zu entdecken und man kann sich auch für Gerichte anregen lassen, die man sonst nie bestellt hätte.",,2024-01-17T13:08:31.094760Z
100.0,29388212,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:08:41.249949Z,random,13e47d7b-ff08-48d4-aa59-1a0a8a666cd1,"[{""end"":13,""text"":""Service"",""start"":6,""labels"":[""SERVICE-POSITIVE""]},{""end"":30,""text"":""Ambiente"",""start"":22,""labels"":[""AMBIENCE-POSITIVE""]}]",,9.302,Llama70B,0,"Super Service, tolles Ambiente.",,2024-01-17T13:08:41.249966Z
100.0,29388235,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:09:08.886961Z,random,e5d91f68-21a1-4803-b935-8aabe17b7af6,"[{""end"":12,""text"":""Personal"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]",,71.57400000000001,Llama70B,0,Das Personal war freundlich aber nicht übermässig.,,2024-01-17T13:10:08.490488Z
100.0,29388308,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:10:20.190287Z,random,1a5fe933-9403-4447-b1a9-8673782887ab,,,6.359,Llama70B,0,"Wir können nichts über die Qualität des Essens sagen, da wir nur den Kaffee tranken.",,2024-01-17T13:10:20.190304Z
100.0,29388328,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:10:43.342151Z,random,e928c31e-002d-461d-9305-ddec52f2f4a0,"[{""end"":46,""text"":""Essen"",""start"":41,""labels"":[""FOOD-POSITIVE""]}]",,22.239,Llama70B,0,Für den Preis bekommt man ein sehr gutes Essen.,,2024-01-17T13:10:43.342171Z
100.0,29388337,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:10:52.902984Z,random,d109f5ac-7d0e-4a7c-bef8-6e952ad5dea0,"[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]",,8.572,Llama70B,0,"Das Ambiente ist eher einfach, aber gemütlich.",,2024-01-17T13:10:52.903002Z
100.0,29388404,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:11:58.102174Z,random,c6803af3-b84e-4294-8e01-1a8e53d4ccb4,"[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]",,64.234,Llama70B,0,Das Restaurant ist nicht mehr so gut wie früher.,,2024-01-17T13:11:58.102193Z
100.0,29388435,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:12:28.031393Z,random,88a8e368-2335-463a-ae28-9d6f58af790b,,"[{""end"":31,""text"":""schlecht, aber auch nicht"",""start"":6,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",29.031,Llama70B,0,"Nicht schlecht, aber auch nicht so toll.",,2024-01-17T13:12:28.031412Z
100.0,29388450,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:12:38.093728Z,random,a5d28a2f-403a-4c97-9483-b26b12b7e4a4,"[{""end"":35,""text"":""Pizza mit Ziegenkäse"",""start"":15,""labels"":[""FOOD-POSITIVE""]}]",,8.559,Llama70B,0,"Wir hatten die Pizza mit Ziegenkäse, die war sehr schön.",,2024-01-17T13:12:38.093747Z
100.0,29388519,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:13:49.591748Z,random,37b01e67-a58c-493f-90f7-658e2fa5a461,,,70.615,Llama70B,0,Ein Service wie aus einem anderen Zeitalter.,,2024-01-17T13:13:49.591769Z
100.0,29388542,nils-constantin.hellwig@stud.uni-regensburg.de,An aspect is addressed in the text without an explicit mention by the author,2024-01-17T13:14:18.558626Z,random,d185a681-dddf-48f8-8e07-6a36109b1f09,,,27.873,Llama70B,0,"Kommt man vorbei und sieht das Personal in der Küche herumstehen, kommt man lieber nicht rein.",,2024-01-17T13:14:18.558646Z
100.0,29388562,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:14:52.598085Z,random,7df22407-1402-4de7-ae4d-f1ac538fccd1,"[{""end"":67,""text"":""Brot"",""start"":63,""labels"":[""FOOD-NEGATIVE""]}]",,33.073,Llama70B,0,"Wir hatten die Pizza mit der Preis, die war sehr klein und das Brot war so hart, dass man es kaum essen konnte.",,2024-01-17T13:14:52.598109Z
100.0,29388572,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:15:04.544758Z,random,cd52f76e-47c4-4d5a-8e58-0a2445f314b2,"[{""end"":12,""text"":""Personal"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]",,10.435,Llama70B,0,Das Personal war nicht freundlich.,,2024-01-17T13:15:04.544775Z
100.0,29388595,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:15:27.404935Z,random,c2793b86-5480-4a47-935f-8a3fd32732e0,"[{""end"":13,""text"":""Bedienung"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":46,""text"":""Wartezeit"",""start"":37,""labels"":[""SERVICE-POSITIVE""]}]",,208.015,Llama70B,0,Die Bedienung war freundlich und die Wartezeit nicht zu lang.,,2024-01-17T13:18:38.704757Z
100.0,29388779,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:18:51.379914Z,random,1c19f920-e8ad-4ca5-a087-05610ed7cb54,"[{""end"":16,""text"":""Service"",""start"":9,""labels"":[""SERVICE-NEGATIVE""]}]",,8.175,Llama70B,0,Aber der Service ist wirklich erbärmlich.,,2024-01-17T13:18:51.379931Z
100.0,29388800,nils-constantin.hellwig@stud.uni-regensburg.de,,2024-01-17T13:19:19.582491Z,random,77ccc9a1-cfbf-40e1-960c-863687fbbc88,"[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]",,27.334,Llama70B,0,Ein Essen für den guten Geschmack.,,2024-01-17T13:19:19.582508Z
